no_of_dependents,education,self_employed,annual_income_in_lakhs,loan_amount_in_lakhs,loan_term_in_months,cibil_score,debt_to_income_ratio,Asset_Score_in_lakhs,loan_status
-0.29410170109049505,-0.9955591693623701,-1.0072882121006403,1.617979041208487,1.6330517066580925,0.19261651149360004,0.0,0.21795613246283702,0.9306281290482397,0
-1.4735476024106673,1.004460639582551,0.9927645216005845,-0.34174955812371177,-0.3244140590070277,-0.5080906785926198,0.8645079233759699,-0.015445836344216047,-0.7971979356893921,1
0.2956212495695911,-0.9955591693623701,-1.0072882121006403,1.4398218958146507,1.6109334494189385,1.5940308916660397,0.8645079233759699,0.4684540206356711,1.2895237508038309,1
0.2956212495695911,-0.9955591693623701,-1.0072882121006403,1.1191390341057454,1.721524735614708,-0.5080906785926198,0.8645079233759699,1.2748787590351767,1.033169735264123,1
1.4750671508897635,1.004460639582551,0.9927645216005845,1.6892418993660214,1.0026813753422064,1.5940308916660397,0.8645079233759699,-0.8656305551656234,1.1510925824123885,1
-1.4735476024106673,-0.9955591693623701,0.9927645216005845,-0.09232955457234103,-0.18064538695252735,-0.15773708354950988,0.8645079233759699,-0.2893837960775394,0.06927863683482087,1
1.4750671508897635,-0.9955591693623701,-1.0072882121006403,1.2972961794995816,1.975884693864978,-1.2087978686788396,-0.8645079233759699,1.3575103833698172,1.9611712715178657,0
-0.29410170109049505,-0.9955591693623701,0.9927645216005845,0.22835330713656424,-0.014758457658873096,1.5940308916660397,0.8645079233759699,-0.593235295929307,0.21283688553705735,1
-1.4735476024106673,-0.9955591693623701,0.9927645216005845,-1.517586717723031,-1.4303269209647227,1.5940308916660397,0.0,-0.3943506778445137,-1.3868121714307204,0
1.4750671508897635,1.004460639582551,-1.0072882121006403,-1.4106924304867292,-1.1980852199536067,-0.15773708354950988,0.8645079233759699,1.552307856743011,-1.1817289589989541,1
0.8853442002296773,-0.9955591693623701,0.9927645216005845,-0.7693267070689188,-0.4350053452027972,-1.5591514637219497,0.8645079233759699,1.473335908078203,-0.3665231895826827,0
-0.29410170109049505,1.004460639582551,0.9927645216005845,0.5846675979242367,0.836794446048552,1.24367729662293,0.8645079233759699,0.6772515181048959,0.7870698803460032,1
0.2956212495695911,1.004460639582551,0.9927645216005845,-0.021066696414806522,-0.39076883072448937,0.8933237015798199,0.8645079233759699,-1.1165228244012977,0.12054943994276247,1
-0.29410170109049505,-0.9955591693623701,0.9927645216005845,1.4398218958146507,1.8099977645713237,0.54297010653671,-0.8645079233759699,0.800656899194887,1.0639322171288879,0
-0.8838246517505812,1.004460639582551,-1.0072882121006403,-1.1256409978565913,-0.8552522327467212,-0.8584442736357297,0.8645079233759699,1.5282006303084907,-1.1099498346478358,1
1.4750671508897635,1.004460639582551,-1.0072882121006403,-0.12796098365110828,-0.4903009883006819,-0.15773708354950988,0.0,-1.1894189737815961,-0.11016917404297472,0
-0.29410170109049505,-0.9955591693623701,0.9927645216005845,-1.6244810049593328,-1.4966816926821844,-1.2087978686788396,-0.8645079233759699,0.361410870877702,-1.4944808579573978,0
0.8853442002296773,1.004460639582551,0.9927645216005845,-0.7693267070689188,-0.6340696603551823,0.54297010653671,0.0,0.43090618570273276,-0.8125791766217746,0
-0.29410170109049505,-0.9955591693623701,-1.0072882121006403,-0.8405895652264532,-0.5345375027789897,-0.15773708354950988,0.0,1.3939739744817163,-1.1304581558910125,0
1.4750671508897635,-0.9955591693623701,-1.0072882121006403,0.44214188160916773,-0.05899497213718089,0.19261651149360004,-0.8645079233759699,-1.1207881453111932,0.5460971057386778,0
-0.29410170109049505,-0.9955591693623701,-1.0072882121006403,-0.021066696414806522,0.4718432016025127,0.19261651149360004,0.8645079233759699,1.5034505445023827,0.13593068087514495,1
0.8853442002296773,-0.9955591693623701,-1.0072882121006403,0.2639847362153315,-0.1253497438546426,0.8933237015798199,0.8645079233759699,-0.9590001107978933,0.5204617041847069,1
0.8853442002296773,-0.9955591693623701,0.9927645216005845,0.5134047397667022,1.1685683046358606,1.24367729662293,0.8645079233759699,1.6274729524978238,0.5255887844955011,1
-1.4735476024106673,1.004460639582551,0.9927645216005845,-1.6244810049593328,-1.5187999499213383,-1.5591514637219497,0.8645079233759699,-0.31037717243093454,-1.5201162595113686,0
-1.4735476024106673,1.004460639582551,-1.0072882121006403,-0.056698125493573774,-0.5898331458768745,0.8933237015798199,0.8645079233759699,-1.6539532590482062,-0.34601486833950607,1
1.4750671508897635,1.004460639582551,-1.0072882121006403,-0.6980638489113843,-0.6230105317356053,1.5940308916660397,0.8645079233759699,0.13386975943445398,-0.633131365743979,1
0.8853442002296773,-0.9955591693623701,-1.0072882121006403,1.1191390341057454,1.4339873915057073,0.19261651149360004,-0.8645079233759699,0.7423638466563793,1.1305842611692118,0
0.8853442002296773,1.004460639582551,0.9927645216005845,-0.947483852462755,-1.0543165478991063,-1.2087978686788396,-0.8645079233759699,-1.0941298896243425,-0.8177062569325687,0
1.4750671508897635,1.004460639582551,0.9927645216005845,0.6915618851605385,0.9805631181030524,-0.8584442736357297,0.8645079233759699,0.7452897527683505,0.9665176912237988,1
